model,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8,prompt9,prompt10,prompt11,prompt12
scoft-Korean-culture_GQA_neg,24.7763,24.9862,24.8515,23.9282,24.254,24.8965,24.3413,24.9005,24.7742,23.6373,24.4038,24.168
scoft-Korean-culture_face_neg,24.5805,24.9487,24.4838,25.1192,25.1917,24.3939,24.3001,24.174,24.8483,24.2634,24.1702,24.192
scoft-Korean-culture_merged_neg,24.5919,24.6064,25.1328,24.6131,24.7295,24.9315,24.3283,24.9574,24.6791,24.6086,24.33,24.2532
scoft-Korean-culture_vanila_neg,23.8111,24.1054,24.8426,23.7789,24.5799,24.4447,24.7175,24.5284,24.5297,24.5456,24.5994,24.7389
