model,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8,prompt9,prompt10,prompt11,prompt12
scoft-Korean-culture_GQA_neg,21.7351,24.4161,24.8221,22.6695,23.312,20.0568,22.2985,22.4907,21.9161,22.1773,23.0565,20.8469
scoft-Korean-culture_face_neg,21.2424,24.4222,24.7599,22.4682,23.4697,19.6472,22.3015,22.7378,21.7687,22.3863,22.2541,21.1238
scoft-Korean-culture_merged_neg,21.1302,24.5794,25.0427,22.6528,23.4388,19.7195,22.1787,22.9289,21.9861,22.5577,23.3045,21.2825
scoft-Korean-culture_vanila_neg,21.3352,24.0771,24.9226,22.5827,23.4796,19.4576,22.298,22.9177,21.8663,22.3337,22.5579,21.8831
